"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","","","","","","","","","","","Fredensborg","55.94149","12.485693","2023-01-01T00:00:00Z","Byggeår","/adresse/teglbakken-55-2990-nivaa-02100774__55_______","value:579300|sqm:|lastPrice:3654984|sqmPr:29239|rooms:"
"","Kolonihavehus","Træ","Ingen varmeinstallation","35.0","","1.0","","Fibercement herunder asbest","","1984.0","Fredensborg","55.96219","12.530763","","","/adresse/krogerupstien-5-3050-humlebaek-02100392___5_______","value:330000|sqm:35|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Mursten","Fjernvarme/blokvarme","27.0","Ingen fast kogeinstallation","1.0","1.0","Betontagsten","Vandskyllende toilet i enheden","1973.0","Fredensborg","55.935753","12.496896","1998-01-01T00:00:00Z","Ombygningsår","/adresse/johannes-hages-alle-3-0-71-2990-nivaa-02100330___3_st__71","value:|sqm:27|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Fredensborg","55.9521","12.500608","","","/adresse/harestien-71-3050-humlebaek-02101040__71_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Centralvarme med én fyringsenhed","124.0","Eget køkken med afløb","2.0","2.0","Tegl","Vandskyllende toilet i enheden","1991.0","Fredensborg","55.974117","12.396444","1991-01-01T00:00:00Z","Byggeår","/adresse/ulriksdal-10-3480-fredensborg-02100909__10_______","value:|sqm:124|lastPrice:|sqmPr:|rooms:"
"","Bygning til kontor","Mursten","Centralvarme med én fyringsenhed","","","1.0","","Metal","","1900.0","Fredensborg","55.979458","12.404712","1996-10-17T00:00:00Z","Fri handel","/adresse/helsingoersvej-9-3480-fredensborg-02100256___9_______","value:3600000|sqm:|lastPrice:1750000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Fredensborg","55.965405","12.510298","","","/adresse/langebjergvej-247-3050-humlebaek-02100407_247_______","value:1040000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Fredensborg","55.958305","12.51658","","","/adresse/boserupvej-601b-11-3050-humlebaek-02100064601b_____11","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Fredensborg","55.962048","12.49934","","","/adresse/bakkegaardsvej-515b-3050-humlebaek-02100036515b_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Fredensborg","55.934227","12.504765","","","/adresse/nivaa-center-21-2990-nivaa-02100507__21_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","109.0","Eget køkken med afløb","3.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2022.0","Fredensborg","55.969254","12.402961","2022-01-01T00:00:00Z","Byggeår","/adresse/bladhusene-7-3480-fredensborg-02101008___7_______","value:|sqm:109|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Letbetonsten","Varmepumpe","120.0","Eget køkken med afløb","2.0","2.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2022.0","Fredensborg","55.960682","12.534346","2022-01-01T00:00:00Z","Byggeår","/adresse/nyvej-4a-3050-humlebaek-02100533__4a_______","value:|sqm:120|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Centralvarme med én fyringsenhed","166.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2016.0","Fredensborg","55.97559","12.425435","2016-01-01T00:00:00Z","Byggeår","/adresse/langkildeparken-4-3480-fredensborg-02100414___4_______","value:3300000|sqm:166|lastPrice:1700000|sqmPr:10240|rooms:"
"","","","","","","","","","","","Fredensborg","55.95965","12.517571","","","/adresse/baunebjergvej-554-3050-humlebaek-02100043_554_______","value:3950000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Fredensborg","55.973392","12.414142","","","/adresse/hf.-fredensborg-18-3480-fredensborg-02100899__18_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
