"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Hverken badeværelse eller adgang til badeværelse","Kolonihavehus","Andet materiale","Ingen varmeinstallation","36.0","Eget køkken med afløb","1.0","1.0","Andet materiale","Vandskyllende toilet i enheden","1975.0","Glostrup","55.698368","12.399061","1989-01-01T00:00:00Z","Ombygningsår","/adresse/kamillevaenget-43-2600-glostrup-01610617__43_______","value:120000|sqm:36|lastPrice:|sqmPr:|rooms:"
"","Carport","Glas","Ingen varmeinstallation","","","","","Glas","","1999.0","Glostrup","55.68294","12.414107","","","/adresse/egeskoven-27-2600-glostrup-01610087__27_______","value:71000000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Træ","Ingen varmeinstallation","60.0","Eget køkken med afløb","1.0","1.0","Metal","Vandskyllende toilet i enheden","1976.0","Glostrup","55.706654","12.405789","2013-01-01T00:00:00Z","Ombygningsår","/adresse/vaengedalen-815-2600-glostrup-01610539_815_______","value:200000|sqm:60|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.660934","12.396382","","","/adresse/stationsparken-31-0-2600-glostrup-01610614__31_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.672565","12.389057","","","/adresse/nordstjernevej-29-2600-glostrup-01610349__29_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","94.0","Eget køkken med afløb","6.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2020.0","Glostrup","55.661102","12.39343","2020-01-01T00:00:00Z","Byggeår","/adresse/kirkebjerg-parkvej-2c-2-2-2600-glostrup-01610245__2c__2___2","value:|sqm:94|lastPrice:2595000|sqmPr:27606|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","107.0","Eget køkken med afløb","6.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2020.0","Glostrup","55.66135","12.393338","2020-01-01T00:00:00Z","Byggeår","/adresse/kirkebjerg-parkvej-2d-1-1-2600-glostrup-01610245__2d__1___1","value:|sqm:107|lastPrice:2983000|sqmPr:27878|rooms:"
"","","","","","","","","","","","Glostrup","55.661644","12.372682","","","/adresse/sydvestvej-134-2600-glostrup-01610473_134_______","value:1900000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.681732","12.413572","","","/adresse/grankoglen-10-4-1-2600-glostrup-01610007__10__4___1","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.661163","12.386341","","","/adresse/baneleddet-15-1-1-2600-glostrup-01610008__15__1___1","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Fibercement uden asbest","Varmepumpe","63.0","Eget køkken med afløb","1.0","1.0","Betontagsten","Vandskyllende toilet i enheden","2017.0","Glostrup","55.698803","12.390317","2017-01-01T00:00:00Z","Byggeår","/adresse/hoegestien-5-0-2600-glostrup-01610679___5_st____","value:|sqm:63|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Træ","Elvarme","58.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1987.0","Glostrup","55.699883","12.426487","2015-01-01T00:00:00Z","Ombygningsår","/adresse/ydergraensen-55-2600-glostrup-01610542__55_______","value:200000|sqm:58|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66068","12.382416","","","/adresse/baneleddet-55-2-1-2600-glostrup-01610008__55__2___1","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.681942","12.414087","","","/adresse/grannaalen-21-2600-glostrup-01610006__21_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.68417","12.411168","","","/adresse/skovsletten-7-2600-glostrup-01610611___7_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66552","12.414806","2014-09-05T00:00:00Z","Øvrigt","/adresse/evas-alle-22a-2600-glostrup-01610144_22a_______","value:19500|sqm:|lastPrice:20000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","91.0","Eget køkken med afløb","3.0","1.0","Betontagsten","Vandskyllende toilet i enheden","1992.0","Glostrup","55.68206","12.412064","1993-01-01T00:00:00Z","Ombygningsår","/adresse/granskoven-18-2-5-2600-glostrup-01610187__18__2___5","value:|sqm:91|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.667084","12.387218","","","/adresse/diget-56-0-2600-glostrup-01610068__56_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.665268","12.389554","","","/adresse/hovedvejen-133-2600-glostrup-01610213_133_______","value:15530000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","130.0","Eget køkken med afløb","2.0","2.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2017.0","Glostrup","55.681435","12.423483","2017-01-01T00:00:00Z","Byggeår","/adresse/gaaseager-23-2600-glostrup-01610505__23_______","value:2400000|sqm:130|lastPrice:1785000|sqmPr:13730|rooms:"
"","","","","","","","","","","","Glostrup","55.67979","12.411622","","","/adresse/gadager-20a-2600-glostrup-01610164_20a_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.660774","12.383092","","","/adresse/baneleddet-45-0-2-2600-glostrup-01610008__45_st___2","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Fibercement uden asbest","Varmepumpe","63.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2023.0","Glostrup","55.697735","12.391784","2023-01-01T00:00:00Z","Byggeår","/adresse/yasmin-rose-stien-9-2600-glostrup-01610702___9_______","value:|sqm:63|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.660618","12.381841","","","/adresse/baneleddet-59-3-2-2600-glostrup-01610008__59__3___2","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Træ","Ingen varmeinstallation","27.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1975.0","Glostrup","55.706615","12.406848","1975-01-01T00:00:00Z","Byggeår","/adresse/vaengedalen-805-2600-glostrup-01610539_805_______","value:95000|sqm:27|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","75.0","Eget køkken med afløb","3.0","1.0","Betontagsten","Vandskyllende toilet i enheden","1992.0","Glostrup","55.68212","12.412628","1993-01-01T00:00:00Z","Ombygningsår","/adresse/granskoven-14-2-3-2600-glostrup-01610187__14__2___3","value:|sqm:75|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66652","12.40093","","","/adresse/noerre-alle-2-2600-glostrup-01610373___2_______","value:1680000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","114.0","Eget køkken med afløb","3.0","1.0","Betontagsten","Vandskyllende toilet i enheden","1992.0","Glostrup","55.68206","12.412064","1993-01-01T00:00:00Z","Ombygningsår","/adresse/granskoven-18-2-1-2600-glostrup-01610187__18__2___1","value:|sqm:114|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.670296","12.408293","","","/adresse/digevangsvej-5-0-5-2600-glostrup-01610069___5_st___5","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Mursten","Fjernvarme/blokvarme","135.0","Eget køkken med afløb","1.0","2.0","Tegl","Vandskyllende toilet i enheden","2012.0","Glostrup","55.682907","12.4207945","2015-12-08T00:00:00Z","Familiehandel","/adresse/bovneager-11-2600-glostrup-01610502__11_______","value:1950000|sqm:135|lastPrice:1665000|sqmPr:12333|rooms:"
"","","","","","","","","","","","Glostrup","55.666397","12.400466","2022-01-01T00:00:00Z","Byggeår","/adresse/noerre-alle-1a-3-6-2600-glostrup-01610373__1a__3___6","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","Ingen varmeinstallation","","","","","Tagpap med stor hældning","","2013.0","Glostrup","55.682053","12.422418","","","/adresse/bovneager-75-0-2600-glostrup-01610502__75_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Fibercement uden asbest","Varmepumpe","63.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2019.0","Glostrup","55.69727","12.401417","2019-01-01T00:00:00Z","Byggeår","/adresse/karsevaenget-55-0-2600-glostrup-01610618__55_st____","value:|sqm:63|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.68805","12.425047","","","/adresse/oxbjergvej-36-2600-glostrup-01610376__36_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.67287","12.393655","","","/adresse/nordstjernevej-50-2600-glostrup-01610349__50_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66305","12.415177","","","/adresse/soendervangsvej-78-2600-glostrup-01610483__78_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.661713","12.384893","","","/adresse/sydvestvej-57f-2-tv-2600-glostrup-01610473_57f__2__tv","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Andet materiale","Ingen varmeinstallation","46.0","Eget køkken med afløb","1.0","1.0","Andet materiale","Vandskyllende toilet i enheden","1976.0","Glostrup","55.697533","12.397068","1976-01-01T00:00:00Z","Byggeår","/adresse/karsevaenget-18-2600-glostrup-01610618__18_______","value:160000|sqm:46|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.660698","12.403529","","","/adresse/glostrup-shoppingcenter-2a-2600-glostrup-01610181__2a_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.68153","12.413523","","","/adresse/grankoglen-8-3-2-2600-glostrup-01610007___8__3___2","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.660645","12.382084","","","/adresse/baneleddet-57-2-1-2600-glostrup-01610008__57__2___1","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Træ","Fjernvarme/blokvarme","103.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2021.0","Glostrup","55.70274","12.420941","2021-10-25T14:58:39.293Z","Af markedet","/adresse/ejby-mosevej-175-2600-glostrup-01610094_175_______","value:3334600|sqm:103|lastPrice:4395000|sqmPr:42669|rooms:"
"","","","","","","","","","","","Glostrup","55.67309","12.40551","","","/adresse/sofielundsvej-68-0-2600-glostrup-01610427__68_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Bygning til kontor","Mursten","Centralvarme med én fyringsenhed","","","2.0","","Tagpap med stor hældning","","1986.0","Glostrup","55.6973","12.42535","","","/adresse/erhvervsvej-10-2600-glostrup-01610137__10_______","value:35500000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.683376","12.426855","","","/adresse/dysseaasen-39-0-2600-glostrup-01610501__39_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66181","12.385824","","","/adresse/sydvestvej-57a-2-th-2600-glostrup-01610473_57a__2__th","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.68308","12.418535","","","/adresse/oestre-lindeskov-251-2600-glostrup-01610554_251_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.681404","12.413565","","","/adresse/grankoglen-6-2600-glostrup-01610007___6_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.666397","12.400466","2022-01-01T00:00:00Z","Byggeår","/adresse/noerre-alle-1a-3-9-2600-glostrup-01610373__1a__3___9","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.69871","12.419517","","","/adresse/ejby-industrivej-135-1-2600-glostrup-01610092_135__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Kolonihavehus","Andet materiale","Ingen varmeinstallation","63.0","Eget køkken med afløb","1.0","1.0","Andet materiale","Vandskyllende toilet i enheden","1975.0","Glostrup","55.699226","12.39659","2016-01-01T00:00:00Z","Ombygningsår","/adresse/karsevaenget-11-2600-glostrup-01610618__11_______","value:220000|sqm:63|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.709393","12.411293","2004-12-31T00:00:00Z","Fri handel","/adresse/ejbydalsvej-279-2600-glostrup-01610090_279_______","value:250500|sqm:|lastPrice:110900|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Glostrup","55.702785","12.420752","","","/adresse/ejby-mosevej-167-0-2600-glostrup-01610094_167_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.666397","12.400466","2022-01-01T00:00:00Z","Byggeår","/adresse/noerre-alle-1a-1-9-2600-glostrup-01610373__1a__1___9","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.66293","12.404881","","","/adresse/oernebjergvej-3d-2600-glostrup-01610543__3d_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.68117","12.413657","","","/adresse/grankoglen-2-2600-glostrup-01610007___2_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.661026","12.385284","","","/adresse/baneleddet-25-5-2-2600-glostrup-01610008__25__5___2","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Glostrup","55.662285","12.380763","","","/adresse/mjoelnersvej-20-2600-glostrup-01610342__20_______","value:1300000|sqm:|lastPrice:|sqmPr:|rooms:"
