"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","","","","","","","","","","","Albertslund","55.657017","12.33898","","","/adresse/hedemarksvej-22-2620-albertslund-01650170__22_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Albertslund","55.66459","12.365845","","","/adresse/roskildevej-12a-2620-albertslund-01650410_12a_______","value:35000000|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Plastmaterialer","","2011.0","Albertslund","55.660957","12.328117","","","/adresse/egelundsvej-6e-2620-albertslund-01650078__6e_______","value:3200000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Mursten","Centralvarme med én fyringsenhed","180.0","Eget køkken med afløb","1.0","1.0","Metal","Vandskyllende toilet i enheden","1900.0","Albertslund","55.685318","12.367778","2017-03-28T17:45:19.243Z","Af markedet","/adresse/rovej-1a-2620-albertslund-01650415__1a_______","value:2400000|sqm:180|lastPrice:3750000|sqmPr:20833|rooms:"
"","","","","","","","","","","","Albertslund","55.677734","12.394953","","","/adresse/malervangen-21d-4-tv-2600-glostrup-01650322_21d__4__tv","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Albertslund","55.653988","12.342391","","","/adresse/kanalens-kvt-128-1-3-2620-albertslund-01650250_128__1___3","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Albertslund","55.695156","12.3813305","","","/adresse/gartnervangen-4-2620-albertslund-01650135___4_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Carport","Træ","","","","","","Andet materiale","","1989.0","Albertslund","55.669827","12.364172","","","/adresse/degnehusene-121-2620-albertslund-01650068_121_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Albertslund","55.67686","12.35587","","","/adresse/morbaerhaven-11c-2620-albertslund-01650327_11c_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Betonelementer","Fjernvarme/blokvarme","87.0","Eget køkken med afløb","2.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1973.0","Albertslund","55.67904","12.348866","2002-01-28T00:00:00Z","Fri handel","/adresse/galgebakken-torv-708-2620-albertslund-01650127_708_______","value:|sqm:87|lastPrice:7200000|sqmPr:82758|rooms:"
"","","","","","","","","","","","Albertslund","55.67223","12.3640585","","","/adresse/degnehusene-119-2620-albertslund-01650068_119_______","value:26000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Betonelementer","Fjernvarme/blokvarme","134.0","Eget køkken med afløb","2.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1973.0","Albertslund","55.677155","12.350444","2002-01-28T00:00:00Z","Fri handel","/adresse/galgebakken-over-927-2620-albertslund-01650123_927_______","value:|sqm:134|lastPrice:7200000|sqmPr:53731|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","92.0","Eget køkken med afløb","7.0","1.0","Tegl","Vandskyllende toilet i enheden","2021.0","Albertslund","55.657024","12.359797","2021-01-01T00:00:00Z","Byggeår","/adresse/raadhusdammen-17-0-th-2620-albertslund-01650434__17_st__th","value:|sqm:92|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Albertslund","55.67634","12.361303","","","/adresse/morbaerhaven-72d-2620-albertslund-01650327_72d_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Mursten","Fjernvarme/blokvarme","132.0","Eget køkken med afløb","2.0","2.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2011.0","Albertslund","55.66677","12.345528","2022-08-24T11:40:09.41281Z","Af markedet","/adresse/birkelundsvej-9-2620-albertslund-01650037___9_______","value:2000000|sqm:132|lastPrice:3900000|sqmPr:29545|rooms:"
"","Udhus","Metal","","","","","","Metal","","2015.0","Albertslund","55.677483","12.391774","2021-04-23T00:00:00Z","Fri handel","/adresse/smedeland-6-2600-glostrup-01650457___6_______","value:18900000|sqm:|lastPrice:60500000|sqmPr:undefined|rooms:"
