props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Lyngby-Taarbæk,55.786053,12.523377,,,/adresse/anker-engelunds-vej-101a-0-2800-kongens-lyngby-01730024101a_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7819,12.48858,,,/adresse/skovbrynet-2d-4-5-2800-kongens-lyngby-01730722__2d__4___5,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Mursten,,,,,,Tagpap med stor hældning,,1912.0,Lyngby-Taarbæk,55.799896,12.506917,,,/adresse/oerholm-stationsvej-1-0-2800-kongens-lyngby-01730887___1_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,71.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2010.0,Lyngby-Taarbæk,55.777843,12.518335,2010-01-01T00:00:00Z,Byggeår,/adresse/bauneporten-24-1-211-2800-kongens-lyngby-01730052__24__1_211,value:|sqm:71|lastPrice:|sqmPr:|rooms:
,Bygning til kontor,Mursten,Centralvarme med én fyringsenhed,,,1.0,,Fibercement herunder asbest,,1949.0,Lyngby-Taarbæk,55.78931,12.475478,2021-01-19T00:00:00Z,Fri handel,/adresse/virumgade-1-2830-virum-01730865___1_______,value:2450000|sqm:|lastPrice:3950000|sqmPr:undefined|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.76325,12.509259,,,/adresse/egebovej-2--1-2800-kongens-lyngby-01730182___2_kl____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Træ,,,,,,Tagpap med lille hældning,,1978.0,Lyngby-Taarbæk,55.792988,12.476181,,,/adresse/askevaenget-2-2830-virum-01730032___2_______,value:3050000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.795265,12.461843,,,/adresse/parkvej-55a-2830-virum-01730642_55a_______,value:1210000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78531,12.5158615,,,/adresse/fysikvej-315b-1-11-2800-kongens-lyngby-01730263315b__1__11,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.794006,12.524744,,,/adresse/lundtoftevej-162g-0-2-2800-kongens-lyngby-01730527162g_st___2,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,69.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2010.0,Lyngby-Taarbæk,55.777843,12.518335,2010-01-01T00:00:00Z,Byggeår,/adresse/bauneporten-24-2-314-2800-kongens-lyngby-01730052__24__2_314,value:|sqm:69|lastPrice:|sqmPr:|rooms:
,Udhus,Mursten,Ingen varmeinstallation,,,,,Tegl,,1872.0,Lyngby-Taarbæk,55.7823,12.490162,,,/adresse/skovbrynet-42a-2800-kongens-lyngby-01730722_42a_______,value:3110000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78217,12.50649,1996-10-28T00:00:00Z,Fri handel,/adresse/lundtoftevej-61-2800-kongens-lyngby-01730527__61_______,value:4750000|sqm:|lastPrice:4500000|sqmPr:undefined|rooms:
Badeværelse i enheden,Bygning til kontor,Mursten,Centralvarme med én fyringsenhed,,Ingen fast kogeinstallation,2.0,7.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,1872.0,Lyngby-Taarbæk,55.799583,12.5055,1999-12-21T00:00:00Z,Øvrigt,/adresse/oerholmvej-57-2800-kongens-lyngby-01730888__57_______,value:8100000|sqm:|lastPrice:4800000|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,67.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,2013.0,Lyngby-Taarbæk,55.794025,12.50521,2014-01-01T00:00:00Z,Ombygningsår,/adresse/moelleaaparken-2-1-70-2800-kongens-lyngby-01730601___2__1__70,value:|sqm:67|lastPrice:|sqmPr:|rooms:
,Udhus,,,,,,,,,,Lyngby-Taarbæk,55.777313,12.502102,,,/adresse/slotsvaenget-23a-0-23-2800-kongens-lyngby-01730737_23a_st__23,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Centralvarme med én fyringsenhed,37.0,Eget køkken med afløb,5.0,1.0,Levende tage,Vandskyllende toilet i enheden,2020.0,Lyngby-Taarbæk,55.780907,12.488022,2020-01-01T00:00:00Z,Byggeår,/adresse/skovbrynet-4-2-14-2800-kongens-lyngby-01730722___4__2__14,value:|sqm:37|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,73.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2018.0,Lyngby-Taarbæk,55.773384,12.507341,2018-01-01T00:00:00Z,Byggeår,/adresse/kanalvej-5a-3-3-2800-kongens-lyngby-01730412__5a__3___3,value:|sqm:73|lastPrice:168588500|sqmPr:2309431|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Fibercement herunder asbest,Centralvarme med én fyringsenhed,30.0,Eget køkken med afløb,2.0,1.0,Betontagsten,Vandskyllende toilet i enheden,1986.0,Lyngby-Taarbæk,55.783775,12.484307,2001-01-01T00:00:00Z,Ombygningsår,/adresse/sennepsmarken-1-0-5-2830-virum-01730706___1_st___5,value:|sqm:30|lastPrice:2110000|sqmPr:70333|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,28.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2019.0,Lyngby-Taarbæk,55.791016,12.521059,2019-08-21T00:00:00Z,Øvrigt,/adresse/nordvej-259e-1-7-2800-kongens-lyngby-01730610259e__1___7,value:|sqm:28|lastPrice:4406063|sqmPr:157359|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78267,12.521427,,,/adresse/energivej-414-0-2800-kongens-lyngby-01730196_414_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.76749,12.507685,,,/adresse/lyngby-hovedgade-63-2-3-2800-kongens-lyngby-01730535__63__2___3,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.778084,12.501661,2015-08-17T00:00:00Z,Fri handel,/adresse/slotsvaenget-28-2800-kongens-lyngby-01730737__28_______,value:2139900|sqm:|lastPrice:500000|sqmPr:undefined|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.78484,12.510998,,,/adresse/hf.-lyngen-37-2800-kongens-lyngby-01738040__37_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.794666,12.505312,,,/adresse/moelleaaparken-4b-2800-kongens-lyngby-01730601__4b_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Centralvarme med én fyringsenhed,10.0,Adgang til fælles køkken,2.0,,Tagpap med lille hældning,Vandskyllende toilet uden for enheden,1978.0,Lyngby-Taarbæk,55.80122,12.520386,2023-01-18T00:00:00Z,Fri handel,/adresse/nymoellevej-59b-0-26-2800-kongens-lyngby-01730619_59b_st__26,value:|sqm:10|lastPrice:64000000|sqmPr:6400000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Centralvarme med én fyringsenhed,136.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2019.0,Lyngby-Taarbæk,55.782272,12.482953,2019-01-01T00:00:00Z,Byggeår,/adresse/hummeltoftevej-62a-1-th-2830-virum-01730355_62a__1__th,value:2650000|sqm:136|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.7843,12.513805,,,/adresse/elektrovej-330t-6-2800-kongens-lyngby-01730188330t______6,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.76019,12.495086,,,/adresse/buddingevej-88-2800-kongens-lyngby-01730100__88_______,value:6500000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.780064,12.487736,,,/adresse/lottenborgvej-24b-2800-kongens-lyngby-01730520_24b_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.785213,12.515842,,,/adresse/fysikvej-315a-0-3-2800-kongens-lyngby-01730263315a_st___3,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Lyngby-Taarbæk,55.781116,12.488675,,,/adresse/skovbrynet-2g-3-30-2800-kongens-lyngby-01730722__2g__3__30,value:|sqm:|lastPrice:|sqmPr:|rooms:
