"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","67.0","Eget køkken med afløb","1.0","1.0","Fibercement uden asbest","Vandskyllende toilet i enheden","2022.0","Herlev","55.744087","12.437326","2022-01-01T00:00:00Z","Byggeår","/adresse/sennepshaven-62d-2730-herlev-01636900_62d_______","value:|sqm:67|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.723625","12.439254","","","/adresse/herlev-torv-2-0-23-2730-herlev-01633102___2_st__23","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.7218","12.444338","","","/adresse/herlev-hovedgade-97-3-2-2730-herlev-01633003__97__3___2","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Andet materiale","Fjernvarme/blokvarme","96.0","Eget køkken med afløb","3.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2013.0","Herlev","55.719254","12.438194","2013-01-01T00:00:00Z","Byggeår","/adresse/kolben-2-1-4-2730-herlev-01634089___2__1___4","value:|sqm:96|lastPrice:13214766|sqmPr:137653|rooms:"
"","","","","","","","","","","","Herlev","55.716045","12.428323","2008-04-07T00:00:00Z","Fri handel","/adresse/marielundvej-28-2730-herlev-01635662__28_______","value:44500000|sqm:|lastPrice:52000000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Herlev","55.741722","12.409554","","","/adresse/alfavej-8-2730-herlev-01632031___8_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.71745","12.449657","","","/adresse/disavej-21-2730-herlev-01637780__21_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.744644","12.441791","","","/adresse/hf.-klausdalsbro-121-2730-herlev-01634780_121_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.719757","12.43522","","","/adresse/hoerkaer-8k-5-3-2730-herlev-01634086__8k__5___3","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Herlev","55.717228","12.438327","","","/adresse/hoerkaer-23-4-7-2730-herlev-01634086__23__4___7","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Metal","","","","","","Plastmaterialer","","2012.0","Herlev","55.719242","12.446844","2016-06-20T00:00:00Z","Fri handel","/adresse/stationsalleen-40-2730-herlev-01637779__40_______","value:144000000|sqm:|lastPrice:169000000|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Herlev","55.713993","12.4265375","","","/adresse/marielundvej-46d-2-tv-2730-herlev-01635662_46d__2__tv","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Varmepumpe","168.0","Eget køkken med afløb","1.0","2.0","Tegl","Vandskyllende toilet i enheden","2012.0","Herlev","55.722412","12.4508095","2020-10-09T19:41:04.49Z","Af markedet","/adresse/emtedalen-13a-2730-herlev-01631526_13a_______","value:2850000|sqm:168|lastPrice:5575000|sqmPr:33184|rooms:"
"","","","","","","","","","","","Herlev","55.72181","12.445918","","","/adresse/herlev-hovedgade-82d-1-2730-herlev-01633003_82d__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","89.0","Eget køkken med afløb","7.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2018.0","Herlev","55.717957","12.437667","2018-01-01T00:00:00Z","Byggeår","/adresse/hoerkaer-17a-5-3-2730-herlev-01634086_17a__5___3","value:|sqm:89|lastPrice:|sqmPr:|rooms:"
