"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","94.0","Eget køkken med afløb","6.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2022.0","Rødovre","55.683254","12.453882","2022-01-01T00:00:00Z","Byggeår","/adresse/naesbyvej-4-2-mf-2610-roedovre-01750613___4__2__mf","value:|sqm:94|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","71.0","Eget køkken med afløb","2.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2011.0","Rødovre","55.69967","12.458306","2011-01-01T00:00:00Z","Byggeår","/adresse/slotsherrens-vaenge-6i-1-9-2610-roedovre-01750785__6i__1___9","value:|sqm:71|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.66503","12.454767","2023-08-15T00:00:00Z","Øvrigt","/adresse/storekaer-1-13-4-2610-roedovre-01750816___1_13___4","value:|sqm:|lastPrice:287700|sqmPr:3836|rooms:"
"","","","","","","","","","","","Rødovre","55.66503","12.454767","2023-08-15T00:00:00Z","Øvrigt","/adresse/storekaer-1-13-1-2610-roedovre-01750816___1_13___1","value:|sqm:|lastPrice:287700|sqmPr:3161|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Mursten","Centralvarme med én fyringsenhed","146.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2019.0","Rødovre","55.67812","12.433547","2023-01-17T09:28:02.986278Z","Af markedet","/adresse/korsdalsvej-82b-2610-roedovre-01750468_82b_______","value:2900000|sqm:146|lastPrice:6325000|sqmPr:43321|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","106.0","Eget køkken med afløb","6.0","1.0","Levende tage","Vandskyllende toilet i enheden","2022.0","Rødovre","55.683197","12.456334","2022-01-01T00:00:00Z","Byggeår","/adresse/else-soerensens-vej-4-2-th-2610-roedovre-01750015___4__2__th?leje=b07f347a-8e25-46ad-9535-1e16a66d230c","depo:43500|size:107|rooms:4|period:ubegrænset|from:2024-01-01"
"","Carport","Træ","","","","","","Plastmaterialer","","2013.0","Rødovre","55.696274","12.44023","","","/adresse/glerupvej-24-1-2610-roedovre-01750259__24______1","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.665253","12.456081","2023-08-15T00:00:00Z","Øvrigt","/adresse/roedovre-port-52-9-5-2610-roedovre-01750005__52__9___5","value:|sqm:|lastPrice:287700|sqmPr:5754|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","120.0","Eget køkken med afløb","6.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2018.0","Rødovre","55.67637","12.436287","2018-01-01T00:00:00Z","Byggeår","/adresse/kaffevej-15-3-tv-2610-roedovre-01750423__15__3__tv","value:2250000|sqm:120|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","116.0","Eget køkken med afløb","8.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2020.0","Rødovre","55.67773","12.437838","2020-10-01T00:00:01Z","Af markedet","/adresse/plantagevej-82-4-tv-2610-roedovre-01750661__82__4__tv","value:|sqm:116|lastPrice:3925000|sqmPr:33836|rooms:"
"","","","","","","","","","","","Rødovre","55.692276","12.432294","","","/adresse/islevdalvej-35-0-2610-roedovre-01750392__35_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","118.0","Eget køkken med afløb","2.0","2.0","Tegl","Vandskyllende toilet i enheden","2018.0","Rødovre","55.706066","12.433092","2018-01-01T00:00:00Z","Byggeår","/adresse/islev-have-11-2610-roedovre-01750394__11_______","value:|sqm:118|lastPrice:656499|sqmPr:5563|rooms:"
"","","","","","","","","","","","Rødovre","55.68528","12.461673","","","/adresse/taebyvej-17b-2610-roedovre-01750890_17b_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.69087","12.442785","","","/adresse/solsikkestien-15-2610-roedovre-01750797__15_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Fjernvarme/blokvarme","112.0","Eget køkken med afløb","2.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2017.0","Rødovre","55.67798","12.4349575","2020-07-28T10:14:16.06Z","Af markedet","/adresse/krydderivej-75-2610-roedovre-01750483__75_______","value:2050000|sqm:112|lastPrice:3950000|sqmPr:35267|rooms:"
"","","","","","","","","","","","Rødovre","55.678364","12.438064","2021-03-09T00:00:01Z","Af markedet","/adresse/plantagevej-51-2-tv-2610-roedovre-01750661__51__2__tv","value:|sqm:|lastPrice:2995000|sqmPr:38397|rooms:"
"","","","","","","","","","","","Rødovre","55.71315","12.437575","","","/adresse/hyldebaerstien-14-2610-roedovre-01750373__14_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","64.0","Eget køkken med afløb","2.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2011.0","Rødovre","55.699703","12.457846","2011-01-01T00:00:00Z","Byggeår","/adresse/slotsherrens-vaenge-6f-0-2-2610-roedovre-01750785__6f_st___2","value:|sqm:64|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.676216","12.434273","2021-06-22T00:00:00Z","Øvrigt","/adresse/boerge-olsens-plads-12-1-th-2610-roedovre-01750009__12__1__th","value:|sqm:|lastPrice:55869000|sqmPr:886809|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","104.0","Eget køkken med afløb","6.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","2021.0","Rødovre","55.677307","12.435802","2021-01-31T00:00:00Z","Fri handel","/adresse/krydderivej-2-3-3-2610-roedovre-01750483___2__3___3","value:|sqm:104|lastPrice:161160000|sqmPr:1549615|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","39.0","Eget køkken med afløb","6.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1965.0","Rødovre","55.679646","12.458015","2020-01-01T00:00:00Z","Ombygningsår","/adresse/roedovre-centrum-1p-3-349-2610-roedovre-01750700__1p__3_349","value:|sqm:39|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.66525","12.457238","","","/adresse/roedovre-port-22b-2610-roedovre-01750005_22b_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Rødovre","55.67617","12.443149","1999-05-29T00:00:00Z","Fri handel","/adresse/nyholms-alle-43-2610-roedovre-01750610__43_______","value:2350000|sqm:|lastPrice:2500000|sqmPr:undefined|rooms:"
