props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Helsingør,55.993565,12.537369,,,/adresse/soendermarken-70-285-3060-espergaerde-02178558__70____285,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.035194,12.612532,2009-07-04T00:00:00Z,Fri handel,/adresse/sct-anna-gade-5c-3000-helsingoer-02177091__5c_______,value:1150000|sqm:|lastPrice:1275000|sqmPr:undefined|rooms:
Badeværelse i enheden,Fritliggende enfamilieshus (parcelhus),Letbetonsten,Centralvarme med én fyringsenhed,153.0,Eget køkken med afløb,1.0,2.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1957.0,Helsingør,55.984894,12.550752,2021-01-01T00:00:00Z,Ombygningsår,/adresse/tibberup-moellevej-12-3060-espergaerde-02178777__12_______,value:2200000|sqm:153|lastPrice:3925000|sqmPr:25653|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,77.0,Eget køkken med afløb,2.0,1.0,Tegl,Vandskyllende toilet i enheden,1972.0,Helsingør,56.03583,12.609902,2019-01-01T00:00:00Z,Ombygningsår,/adresse/stjernegade-24g-1-3000-helsingoer-02178082_24g__1____,value:|sqm:77|lastPrice:|sqmPr:|rooms:
,Carport,Træ,,,,,,Tagpap med stor hældning,,1996.0,Helsingør,56.080677,12.53606,,,/adresse/nordre-strandvej-194q-3140-aalsgaarde-02175675194q_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Andet materiale,,,,,,Metal,,2005.0,Helsingør,56.069546,12.557305,2005-06-30T00:00:00Z,Fri handel,/adresse/nordre-strandvej-119a-3150-hellebaek-02175675119a_______,value:34000000|sqm:|lastPrice:50000000|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,99.0,Eget køkken med afløb,2.0,1.0,Tegl,Vandskyllende toilet i enheden,1795.0,Helsingør,56.03417,12.6085005,2017-01-01T00:00:00Z,Ombygningsår,/adresse/fiolgade-13b-1-mf-3000-helsingoer-02171930_13b__1__mf,value:1500000|sqm:99|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,Kolonihavehus,Træ,Varmepumpe,50.0,Eget køkken med afløb,1.0,1.0,Fibercement herunder asbest,Vandskyllende toilet i enheden,1976.0,Helsingør,55.990517,12.491074,2006-01-01T00:00:00Z,Ombygningsår,/adresse/o.f.-kvistgaard-20b-3490-kvistgaard-02176000_20b_______,value:|sqm:50|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.024,12.574669,2020-10-20T00:00:00Z,Fri handel,/adresse/ellehammersvej-6a-3000-helsingoer-02171570__6a_______,value:2390700|sqm:|lastPrice:2300000|sqmPr:undefined|rooms:
,Udhus,Træ,,,,,,Tagpap med stor hældning,,2010.0,Helsingør,56.05007,12.587404,,,/adresse/hellebo-park-98-0-113-3000-helsingoer-02173075__98_st_113,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.029175,12.580551,,,/adresse/morelvej-21-3000-helsingoer-02175440__21_______,value:410000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.02736,12.579817,,,/adresse/lathyrusvej-45-3000-helsingoer-02174820__45_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,55.995068,12.546394,,,/adresse/noerre-torv-6-3060-espergaerde-02175920___6_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.081062,12.4752035,,,/adresse/halfdan-rasmussens-vej-3-1-28-3100-hornbaek-02172838___3__1__28,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,85.0,Eget køkken med afløb,4.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2022.0,Helsingør,56.040466,12.567472,2022-01-01T00:00:00Z,Byggeår,/adresse/moselundsvej-12-1-th-3000-helsingoer-02170009__12__1__th,value:|sqm:85|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,56.020824,12.565776,,,/adresse/industrivej-19-105-3000-helsingoer-02173835__19____105,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Centralvarme med én fyringsenhed,74.0,Eget køkken med afløb,1.0,1.0,Tegl,Vandskyllende toilet i enheden,1900.0,Helsingør,56.038097,12.600845,1900-01-01T00:00:00Z,Byggeår,/adresse/esrumvej-13a-1-3000-helsingoer-02171750_13a__1____,value:|sqm:74|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Helsingør,55.9868,12.520187,,,/adresse/myremalmsvej-77-3060-espergaerde-02170017__77_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Centralvarme med én fyringsenhed,86.0,Eget køkken med afløb,2.0,1.0,Tegl,Vandskyllende toilet i enheden,1800.0,Helsingør,56.03451,12.613083,1998-01-01T00:00:00Z,Ombygningsår,/adresse/stengade-56d-2-th-3000-helsingoer-02177966_56d__2__th,value:|sqm:86|lastPrice:1550000|sqmPr:18023|rooms:
