"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Badeværelse i enheden","Sommerhus","Træ","Varmepumpe","148.0","Eget køkken med afløb","1.0","2.0","Levende tage","Vandskyllende toilet i enheden","2022.0","Gribskov","56.116936","12.232936","2022-01-01T00:00:00Z","Byggeår","/adresse/maagevej-12-3250-gilleleje-02701171__12_______","value:827700|sqm:148|lastPrice:3000000|sqmPr:20270|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Varmepumpe","71.0","Eget køkken med afløb","3.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1877.0","Gribskov","56.05341","12.345119","2021-01-01T00:00:00Z","Ombygningsår","/adresse/sygehusvej-4-0-1-3230-graested-02701742___4_st___1","value:|sqm:71|lastPrice:12000000|sqmPr:169014|rooms:"
"","","","","","","","","","","","Gribskov","56.031097","12.187336","2023-01-01T00:00:00Z","Byggeår","/adresse/troldeholmen-1-1-35-3200-helsinge-02702167___1__1__35","value:|sqm:|lastPrice:6387500|sqmPr:81891|rooms:"
"","","","","","","","","","","","Gribskov","56.11142","12.233391","","","/adresse/granlyvej-8-3250-gilleleje-02700535___8_______","value:550000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.04709","12.362709","","","/adresse/oestvej-20a-0-9-3230-graested-02702105_20a_st___9","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.090508","12.205569","","","/adresse/blistrup-vaenge-19-3230-graested-02702189__19_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.031097","12.187336","2023-01-01T00:00:00Z","Byggeår","/adresse/troldeholmen-1-2-52-3200-helsinge-02702167___1__2__52","value:|sqm:|lastPrice:6387500|sqmPr:67952|rooms:"
"Badeværelse i enheden","Sommerhus","Letbetonsten","Varmepumpe","111.0","Eget køkken med afløb","1.0","2.0","Tegl","Vandskyllende toilet i enheden","2015.0","Gribskov","56.016216","12.090405","2023-03-07T00:00:00Z","Fri handel","/adresse/roersangervej-19-3200-helsinge-02701418__19_______","value:1650000|sqm:111|lastPrice:2895000|sqmPr:26081|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Varmepumpe","69.0","Eget køkken med afløb","3.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1877.0","Gribskov","56.05341","12.345119","2021-01-01T00:00:00Z","Ombygningsår","/adresse/sygehusvej-4-0-8-3230-graested-02701742___4_st___8","value:|sqm:69|lastPrice:12000000|sqmPr:173913|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","96.0","Eget køkken med afløb","2.0","1.0","Tegl","Vandskyllende toilet i enheden","1951.0","Gribskov","56.12585","12.304571","2014-01-01T00:00:00Z","Ombygningsår","/adresse/svend-henriksens-vej-1a-1-3250-gilleleje-02701734__1a______1","value:1900000|sqm:96|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.060455","12.095138","","","/adresse/bygmarken-45h-23-3220-tisvildeleje-02700224_45h_____23","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Carport","Mursten","","","","","","Fibercement herunder asbest","","1985.0","Gribskov","56.028755","12.15428","2021-02-19T00:00:00Z","Familiehandel","/adresse/aagerupvej-26-3200-helsinge-02702111__26_______","value:540000|sqm:|lastPrice:229500|sqmPr:undefined|rooms:"
"","","","","","","","","","","","Gribskov","56.058666","12.233044","","","/adresse/aggebovej-38-3200-helsinge-02700020__38_______","value:122000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.023106","12.202377","2000-06-20T00:00:00Z","Fri handel","/adresse/oestergade-31-3200-helsinge-02702098__31_______","value:2550000|sqm:|lastPrice:1800000|sqmPr:undefined|rooms:"
"","Carport","Træ","Ingen varmeinstallation","","","","","Tagpap med stor hældning","","2023.0","Gribskov","56.100117","12.182952","2020-10-19T11:54:43.05Z","Af markedet","/adresse/hejrevaenget-4-3210-vejby-02700680___4_______","value:312900|sqm:|lastPrice:1250000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Anden bygning til helårsbeboelse","Mursten","Fjernvarme/blokvarme","344.0","Adgang til fælles køkken","2.0","3.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1971.0","Gribskov","56.0647","12.136851","","","/adresse/femgaardsvej-5-3210-vejby-02700430___5_______","value:4100000|sqm:344|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Gribskov","56.033207","12.186505","","","/adresse/egetrolden-2-1-29-3200-helsinge-02702184___2__1__29","value:|sqm:|lastPrice:|sqmPr:|rooms:"
