props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,30.0,Eget køkken med afløb,4.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1960.0,København,55.646404,12.637183,2017-01-19T00:00:00Z,Fri handel,/adresse/jorisvej-7a-3-171-2300-koebenhavn-s-01013426__7a__3_171,value:|sqm:30|lastPrice:127000000|sqmPr:4233333|rooms:
,Udhus,Træ,,,,,,Tagpap med stor hældning,,2018.0,København,55.68484,12.58686,2015-08-20T17:32:24.877Z,Af markedet,/adresse/store-kongensgade-63a-1264-koebenhavn-k-01016948_63a_______,value:6576600|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.671448,12.590154,,,/adresse/sofiegade-3-1418-koebenhavn-k-01016676___3_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.65432,12.518473,,,/adresse/kloeverbladsgade-56-0-13-2500-valby-01013788__56_st__13,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.700592,12.593547,,,/adresse/amerika-plads-29-3-2100-koebenhavn-oe-01010139__29__3____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.660522,12.604642,,,/adresse/amagerbrogade-86a-1-1-2300-koebenhavn-s-01010108_86a__1___1,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Metal,,,,,,Metal,,2014.0,København,55.676136,12.565715,,,/adresse/jernbanegade-6-1608-koebenhavn-v-01013404___6_______,value:86000000|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,101.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1930.0,København,55.682285,12.555059,1930-01-01T00:00:00Z,Byggeår,/adresse/herman-triers-plads-7-6-th-1631-koebenhavn-v-01012852___7__6__th,value:1750000|sqm:101|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,77.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2020.0,København,55.652122,12.557073,2020-01-01T00:00:00Z,Byggeår,/adresse/cylindervej-23-4-th-2450-koebenhavn-sv-01018837__23__4__th,value:2000000|sqm:77|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.669453,12.536894,2017-05-19T09:06:00.85Z,Af markedet,/adresse/rahbeks-alle-11-1-1749-koebenhavn-v-01015696__11__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.6678,12.618812,,,/adresse/holmbladsgade-133-3-2300-koebenhavn-s-01012984_133__3____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.70779,12.509885,2011-10-14T00:00:00Z,Fri handel,/adresse/hoejlandsvangen-1-2700-broenshoej-01013204___1_______,value:4550000|sqm:|lastPrice:2000000|sqmPr:undefined|rooms:
,,,,,,,,,,,København,55.64489,12.575339,,,/adresse/vejlands-alle-220v-3-tv-2300-koebenhavn-s-01018128220v__3__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,115.0,Eget køkken med afløb,6.0,1.0,Levende tage,Vandskyllende toilet i enheden,2021.0,København,55.656715,12.501775,2021-01-01T00:00:00Z,Byggeår,/adresse/elstarvej-14-3-tv-2500-valby-01011517__14__3__tv,value:|sqm:115|lastPrice:31901938|sqmPr:277408|rooms:
,,,,,,,,,,,København,55.705845,12.539893,,,/adresse/fyrboedervej-5-1-4-2400-koebenhavn-nv-01012034___5__1___4,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,154.0,Eget køkken med afløb,5.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,1885.0,København,55.700047,12.582282,2018-06-05T13:14:01.22Z,Af markedet,/adresse/rosenvaengets-sidealle-5-3-th-2100-koebenhavn-oe-01015956___5__3__th,value:|sqm:154|lastPrice:67295000|sqmPr:436980|rooms:
,,,,,,,,,,,København,55.67641,12.573196,,,/adresse/hestemoellestraede-5-1464-koebenhavn-k-01012880___5_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.683643,12.590795,,,/adresse/bredgade-36c-3-th-1260-koebenhavn-k-01010816_36c__3__th,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.675842,12.631703,,,/adresse/kasematvej-8-2300-koebenhavn-s-01013584___8_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,90.0,Eget køkken med afløb,4.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2014.0,København,55.663322,12.60055,2014-01-01T00:00:00Z,Byggeår,/adresse/sverrigsgade-4a-1-tv-2300-koebenhavn-s-01017188__4a__1__tv,value:1950000|sqm:90|lastPrice:2445000|sqmPr:27166|rooms:
,Udhus,Træ,,,,,,Tagpap med stor hældning,,2010.0,København,55.696705,12.581126,2013-03-22T00:00:00Z,Fri handel,/adresse/classensgade-7-2100-koebenhavn-oe-01011168___7_______,value:8850000|sqm:|lastPrice:10000000|sqmPr:undefined|rooms:
,,,,,,,,,,,København,55.645264,12.545281,,,/adresse/grethe-ingmanns-vej-33-5-tv-2450-koebenhavn-sv-01018853__33__5__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.652775,12.607677,,,/adresse/ulrik-birchs-alle-27-2300-koebenhavn-s-01017828__27_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.64945,12.608546,,,/adresse/radisevej-2-0-tv-2300-koebenhavn-s-01015682___2_st__tv,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.709606,12.596267,,,/adresse/dunkerquegade-33-2150-nordhavn-01011374__33_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.677402,12.59706,2000-12-15T00:00:00Z,Øvrigt,/adresse/strandgade-89-1401-koebenhavn-k-01016992__89_______,value:97000000|sqm:|lastPrice:45000000|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Betonelementer,Fjernvarme/blokvarme,122.0,Eget køkken med afløb,15.0,2.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2014.0,København,55.660526,12.632106,2018-04-17T17:14:01.987Z,Af markedet,/adresse/amager-strandvej-110b-4-tv-2300-koebenhavn-s-01010120110b__4__tv,value:2900000|sqm:122|lastPrice:6650000|sqmPr:54508|rooms:
,,,,,,,,,,,København,55.64392,12.542426,,,/adresse/molestien-10-2-234-2450-koebenhavn-sv-01014802__10__2_234,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,106.0,Eget køkken med afløb,4.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2015.0,København,55.652664,12.519195,2015-01-01T00:00:00Z,Byggeår,/adresse/carl-jacobsens-vej-17a-2-tv-2500-valby-01011064_17a__2__tv,value:|sqm:106|lastPrice:28878682|sqmPr:272440|rooms:
