props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
Hverken badeværelse eller adgang til badeværelse,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,79.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2022-02-07T16:53:02.583Z,Af markedet,/adresse/absalonsgade-43-0-tv-1658-koebenhavn-v-01010020__43_st__tv,value:1650000|sqm:79|lastPrice:4025000|sqmPr:50949|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,128.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2020-11-09T09:28:51.627Z,Af markedet,/adresse/absalonsgade-43-1-th-1658-koebenhavn-v-01010020__43__1__th,value:2850000|sqm:128|lastPrice:5800000|sqmPr:45312|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,78.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2019-08-05T00:00:00Z,Fri handel,/adresse/absalonsgade-43-1-tv-1658-koebenhavn-v-01010020__43__1__tv,value:1750000|sqm:78|lastPrice:3650000|sqmPr:46794|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,128.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2015-09-28T00:00:00Z,Familiehandel,/adresse/absalonsgade-43-2-th-1658-koebenhavn-v-01010020__43__2__th,value:2850000|sqm:128|lastPrice:300000|sqmPr:2343|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,78.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2001-01-01T00:00:00Z,Ombygningsår,/adresse/absalonsgade-43-2-tv-1658-koebenhavn-v-01010020__43__2__tv,value:1750000|sqm:78|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,128.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2001-01-01T00:00:00Z,Ombygningsår,/adresse/absalonsgade-43-3-th-1658-koebenhavn-v-01010020__43__3__th,value:2850000|sqm:128|lastPrice:368000|sqmPr:2875|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,78.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2009-06-28T00:00:00Z,Fri handel,/adresse/absalonsgade-43-3-tv-1658-koebenhavn-v-01010020__43__3__tv,value:1750000|sqm:78|lastPrice:1905000|sqmPr:24423|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,128.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2001-01-01T00:00:00Z,Ombygningsår,/adresse/absalonsgade-43-4-th-1658-koebenhavn-v-01010020__43__4__th,value:2950000|sqm:128|lastPrice:1276000|sqmPr:9968|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,78.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2018-11-23T10:04:02.307Z,Af markedet,/adresse/absalonsgade-43-4-tv-1658-koebenhavn-v-01010020__43__4__tv,value:1800000|sqm:78|lastPrice:3765000|sqmPr:48269|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,101.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2019-03-25T23:42:24.813Z,Af markedet,/adresse/absalonsgade-43-5-th-1658-koebenhavn-v-01010020__43__5__th,value:2300000|sqm:101|lastPrice:4750000|sqmPr:47029|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,77.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668575,12.556116,2018-10-22T16:44:04.427Z,Af markedet,/adresse/absalonsgade-43-5-tv-1658-koebenhavn-v-01010020__43__5__tv,value:1750000|sqm:77|lastPrice:3750000|sqmPr:48701|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-0-th-1658-koebenhavn-v-01010020__44_st__th,value:|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-0-tv-1658-koebenhavn-v-01010020__44_st__tv,value:|sqm:81|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-1-th-1658-koebenhavn-v-01010020__44__1__th,value:|sqm:87|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-1-tv-1658-koebenhavn-v-01010020__44__1__tv,value:|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-2-th-1658-koebenhavn-v-01010020__44__2__th,value:|sqm:87|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-2-tv-1658-koebenhavn-v-01010020__44__2__tv,value:|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-3-th-1658-koebenhavn-v-01010020__44__3__th,value:|sqm:87|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-3-tv-1658-koebenhavn-v-01010020__44__3__tv,value:|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-4-th-1658-koebenhavn-v-01010020__44__4__th,value:|sqm:87|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1999.0,København,55.66876,12.555676,1999-01-01T00:00:00Z,Byggeår,/adresse/absalonsgade-44-4-tv-1658-koebenhavn-v-01010020__44__4__tv,value:|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2003-07-11T00:00:00Z,Fri handel,/adresse/absalonsgade-46-0-th-1658-koebenhavn-v-01010020__46_st__th,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,52.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2012-09-14T01:06:24.903Z,Af markedet,/adresse/absalonsgade-46-0-tv-1658-koebenhavn-v-01010020__46_st__tv,value:|sqm:52|lastPrice:7200000|sqmPr:138461|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2010-06-11T13:18:00.433Z,Af markedet,/adresse/absalonsgade-46-1-th-1658-koebenhavn-v-01010020__46__1__th,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2003-07-11T00:00:00Z,Fri handel,/adresse/absalonsgade-46-1-tv-1658-koebenhavn-v-01010020__46__1__tv,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2003-07-11T00:00:00Z,Fri handel,/adresse/absalonsgade-46-2-th-1658-koebenhavn-v-01010020__46__2__th,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2012-12-17T15:00:14.117Z,Af markedet,/adresse/absalonsgade-46-2-tv-1658-koebenhavn-v-01010020__46__2__tv,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2003-07-11T00:00:00Z,Fri handel,/adresse/absalonsgade-46-3-th-1658-koebenhavn-v-01010020__46__3__th,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2012-03-10T07:00:01.607Z,Af markedet,/adresse/absalonsgade-46-3-tv-1658-koebenhavn-v-01010020__46__3__tv,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2012-06-27T08:01:33.943Z,Af markedet,/adresse/absalonsgade-46-4-th-1658-koebenhavn-v-01010020__46__4__th,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,81.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.668625,12.555775,2013-09-19T13:12:02.617Z,Af markedet,/adresse/absalonsgade-46-4-tv-1658-koebenhavn-v-01010020__46__4__tv,value:|sqm:81|lastPrice:7200000|sqmPr:88888|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,70.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-0-th-1658-koebenhavn-v-01010020__48_st__th,value:|sqm:70|lastPrice:30900000|sqmPr:441428|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-0-tv-1658-koebenhavn-v-01010020__48_st__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,6.0,2.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-1-th-1658-koebenhavn-v-01010020__48__1__th,value:|sqm:75|lastPrice:30900000|sqmPr:412000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-1-tv-1658-koebenhavn-v-01010020__48__1__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-2-th-1658-koebenhavn-v-01010020__48__2__th,value:|sqm:75|lastPrice:30900000|sqmPr:412000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-2-tv-1658-koebenhavn-v-01010020__48__2__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-3-th-1658-koebenhavn-v-01010020__48__3__th,value:|sqm:75|lastPrice:30900000|sqmPr:412000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-3-tv-1658-koebenhavn-v-01010020__48__3__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-4-th-1658-koebenhavn-v-01010020__48__4__th,value:|sqm:75|lastPrice:30900000|sqmPr:412000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-4-tv-1658-koebenhavn-v-01010020__48__4__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,75.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-5-th-1658-koebenhavn-v-01010020__48__5__th,value:|sqm:75|lastPrice:30900000|sqmPr:412000|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,87.0,Eget køkken med afløb,6.0,1.0,Tegl,Vandskyllende toilet i enheden,1877.0,København,55.66846,12.55587,2015-11-09T00:00:00Z,Fri handel,/adresse/absalonsgade-48-5-tv-1658-koebenhavn-v-01010020__48__5__tv,value:|sqm:87|lastPrice:30900000|sqmPr:355172|rooms:
,,,,,,,,,,,København,55.682503,12.582215,,,/adresse/adelgade-1--1-1304-koebenhavn-k-01010024___1_kl____,value:5700000|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.682503,12.582215,,,/adresse/adelgade-1--2-1304-koebenhavn-k-01010024___1_k2____,value:8450000|sqm:|lastPrice:|sqmPr:|rooms:
Hverken badeværelse eller adgang til badeværelse,Bygning til kontor,Mursten,Fjernvarme/blokvarme,2493.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,,,/adresse/adelgade-1-1-1-1304-koebenhavn-k-01010024___1__1___1,value:700000|sqm:2493|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.682503,12.582215,1994-02-08T00:00:00Z,Fri handel,/adresse/adelgade-1-1-2-1304-koebenhavn-k-01010024___1__1___2,value:2900000|sqm:|lastPrice:1450000|sqmPr:undefined|rooms:
,,,,,,,,,,,København,55.682503,12.582215,2015-02-25T00:00:00Z,Fri handel,/adresse/adelgade-1-1-3-1304-koebenhavn-k-01010024___1__1___3,value:4700000|sqm:|lastPrice:7280744|sqmPr:undefined|rooms:
,,,,,,,,,,,København,55.682503,12.582215,,,/adresse/adelgade-1-2-23-1304-koebenhavn-k-01010024___1__2__23,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2019-06-07T13:22:34.2Z,Af markedet,/adresse/adelgade-1-2-24-1304-koebenhavn-k-01010024___1__2__24,value:1750000|sqm:68|lastPrice:2150000|sqmPr:31617|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2023-10-12T14:20:57.519597Z,På markedet,/adresse/adelgade-1-2-25-1304-koebenhavn-k-01010024___1__2__25?udbud=d6744dce-1555-46c4-8257-80f0bcd45531,pay:220000|sqmPr:63971|sqm:|floor:2|rooms:2|fees:3579|built:1972
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,1997-11-05T00:00:00Z,Fri handel,/adresse/adelgade-1-2-26-1304-koebenhavn-k-01010024___1__2__26,value:1750000|sqm:68|lastPrice:687000|sqmPr:10102|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,1998-09-17T00:00:00Z,Fri handel,/adresse/adelgade-1-2-27-1304-koebenhavn-k-01010024___1__2__27,value:1550000|sqm:68|lastPrice:830350|sqmPr:12211|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2007-02-07T00:00:00Z,Fri handel,/adresse/adelgade-1-2-28-1304-koebenhavn-k-01010024___1__2__28,value:1750000|sqm:68|lastPrice:2300000|sqmPr:33823|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,61.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2000-05-31T00:00:00Z,Fri handel,/adresse/adelgade-1-2-29-1304-koebenhavn-k-01010024___1__2__29,value:1600000|sqm:61|lastPrice:1042198|sqmPr:17085|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,116.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,1972-01-01T00:00:00Z,Byggeår,/adresse/adelgade-1-3-31-1304-koebenhavn-k-01010024___1__3__31,value:3000000|sqm:116|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,58.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2000-01-31T00:00:00Z,Fri handel,/adresse/adelgade-1-3-32-1304-koebenhavn-k-01010024___1__3__32,value:1500000|sqm:58|lastPrice:750000|sqmPr:12931|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,64.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2021-02-26T00:00:00Z,Fri handel,/adresse/adelgade-1-3-33-1304-koebenhavn-k-01010024___1__3__33,value:1650000|sqm:64|lastPrice:2070000|sqmPr:32343|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2023-02-03T13:13:53.711293Z,Af markedet,/adresse/adelgade-1-3-34-1304-koebenhavn-k-01010024___1__3__34,value:1750000|sqm:68|lastPrice:3700000|sqmPr:54411|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2001-05-22T00:00:00Z,Fri handel,/adresse/adelgade-1-3-35-1304-koebenhavn-k-01010024___1__3__35,value:1750000|sqm:68|lastPrice:1050000|sqmPr:15441|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2023-10-06T11:34:59.775004Z,På markedet,/adresse/adelgade-1-3-36-1304-koebenhavn-k-01010024___1__3__36?udbud=416fe0dd-9aa5-48e5-8c50-2a0230c36fea,pay:235000|sqmPr:68382|sqm:|floor:3|rooms:3|fees:3399|built:1972
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2019-09-24T18:10:08.803Z,Af markedet,/adresse/adelgade-1-3-37-1304-koebenhavn-k-01010024___1__3__37,value:1750000|sqm:68|lastPrice:2650000|sqmPr:38970|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,2010-12-07T15:56:01.77Z,Af markedet,/adresse/adelgade-1-3-38-1304-koebenhavn-k-01010024___1__3__38,value:1750000|sqm:68|lastPrice:1650000|sqmPr:24264|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,61.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,1972-01-01T00:00:00Z,Byggeår,/adresse/adelgade-1-3-39-1304-koebenhavn-k-01010024___1__3__39,value:780000|sqm:61|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,116.0,Eget køkken med afløb,6.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,1972.0,København,55.682503,12.582215,1972-01-01T00:00:00Z,Byggeår,/adresse/adelgade-1-4-41-1304-koebenhavn-k-01010024___1__4__41,value:3050000|sqm:116|lastPrice:|sqmPr:|rooms:
