"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","78.0","Eget køkken med afløb","3.0","1.0","Glas","Vandskyllende toilet i enheden","2020.0","Halsnæs","55.976162","12.012555","2020-10-27T00:00:00Z","Fri handel","/adresse/aahaven-2-2-53-3300-frederiksvaerk-02601801___2__2__53","value:|sqm:78|lastPrice:145400000|sqmPr:1864102|rooms:"
"Badeværelse i enheden","Kolonihavehus","Træ","Ovn til fast og flydende brændsel","49.0","Eget køkken med afløb","1.0","1.0","Tegl","Vandskyllende toilet i enheden","2007.0","Halsnæs","55.95455","11.878595","2021-02-27T00:00:00Z","Fri handel","/adresse/dovrehoejen-25-3390-hundested-02600232__25_______","value:|sqm:49|lastPrice:699500|sqmPr:14275|rooms:"
"","","","","","","","","","","","Halsnæs","55.94258","11.885835","","","/adresse/kaermindestien-13-3390-hundested-02600793__13_______","value:140000|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Træ","","","","","","Tagpap med stor hældning","","2007.0","Halsnæs","55.98363","11.942586","","","/adresse/haagendrupvej-4e-3390-hundested-02600628__4e_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.96385","12.022942","","","/adresse/kastaniealle-8-3300-frederiksvaerk-02600687___8_______","value:213600|sqm:|lastPrice:|sqmPr:|rooms:"
"","Garage","Mursten","","","","","","Tagpap med stor hældning","","1880.0","Halsnæs","55.97535","12.013326","","","/adresse/syrevej-23-3300-frederiksvaerk-02601458__23_______","value:520000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.98724","11.934149","","","/adresse/haldvejen-39a-3390-hundested-02600492_39a_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Mursten","Centralvarme med én fyringsenhed","106.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2022.0","Halsnæs","55.946762","12.040213","2022-01-01T00:00:00Z","Byggeår","/adresse/taarnvaenget-39-3300-frederiksvaerk-02601774__39_______","value:|sqm:106|lastPrice:|sqmPr:|rooms:"
"Adgang til badeværelse","Kolonihavehus","Træ","Elvarme","44.0","Eget køkken med afløb","1.0","","Tagpap med stor hældning","Intet vandskyllende toilet","2003.0","Halsnæs","55.954617","11.88072","2021-02-27T00:00:00Z","Fri handel","/adresse/elvervaenget-2-3390-hundested-02600285___2_______","value:|sqm:44|lastPrice:699500|sqmPr:15897|rooms:"
"","Garage","Letbetonsten","","","","","","Fibercement herunder asbest","","1976.0","Halsnæs","55.97394","12.00606","","","/adresse/hanehovedvej-55-3300-frederiksvaerk-02600495__55_______","value:2100|sqm:|lastPrice:|sqmPr:|rooms:"
