props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,Høje-Taastrup,55.640873,12.292521,,,/adresse/taastrup-hovedgade-156h-0-2630-taastrup-01694250156h_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Høje-Taastrup,55.640827,12.211277,,,/adresse/soegraesgade-312-2640-hedehusene-01690046_312_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Træ,,,,,,Plastmaterialer,,1982.0,Høje-Taastrup,55.65066,12.26413,2002-12-13T00:00:00Z,Fri handel,/adresse/bygaden-21-2630-taastrup-01690920__21_______,value:3450000|sqm:|lastPrice:38403222|sqmPr:undefined|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Andet materiale,Fjernvarme/blokvarme,68.0,Eget køkken med afløb,3.0,1.0,Tagpap med stor hældning,Vandskyllende toilet i enheden,2021.0,Høje-Taastrup,55.64277,12.268861,2021-01-01T00:00:00Z,Byggeår,/adresse/skjeberg-alle-90-2-2-2630-taastrup-01696800__90__2___2,value:|sqm:68|lastPrice:8287500|sqmPr:121875|rooms:
,,,,,,,,,,,Høje-Taastrup,55.659992,12.306294,,,/adresse/hoersvinget-14-0-2630-taastrup-01693380__14_st____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,Udhus,Træ,,,,,,Fibercement herunder asbest,,1991.0,Høje-Taastrup,55.64845,12.273849,,,/adresse/dalbergstroeget-15-1-2630-taastrup-01691074__15__1____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Høje-Taastrup,55.645775,12.270655,,,/adresse/jens-kofoeds-gade-27-2-4-2630-taastrup-01690032__27__2___4,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Høje-Taastrup,55.64681,12.291703,,,/adresse/hoeje-taastrup-vej-30b-2630-taastrup-01693248_30b_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Høje-Taastrup,55.649494,12.289546,,,/adresse/rugvaenget-21f-2630-taastrup-01696415_21f_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,Høje-Taastrup,55.64092,12.209601,,,/adresse/soegraesgade-11-2640-hedehusene-01690046__11_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
