"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","","","","","","","","","","","Furesø","55.8123","12.371152","","","/adresse/farum-hovedgade-13-0-3520-farum-01900176__13_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Dobbelthus","Mursten","Varmepumpe","128.0","Eget køkken med afløb","1.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2023.0","Furesø","55.764996","12.325081","2023-01-01T00:00:00Z","Byggeår","/adresse/bringegaardene-9-3500-vaerloese-01900775___9_______","value:|sqm:128|lastPrice:2782584|sqmPr:21738|rooms:"
"","","","","","","","","","","","Furesø","55.820316","12.354476","","","/adresse/paltholmvej-100b-1-3520-farum-01900461100b__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Furesø","55.820953","12.365447","","","/adresse/lucernemarken-15-1-3520-farum-01900397__15__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Furesø","55.82017","12.361535","","","/adresse/farum-gydevej-73-0-3520-farum-01900175__73_st____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Andet materiale","Fjernvarme/blokvarme","147.0","Eget køkken med afløb","2.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2012.0","Furesø","55.828693","12.3394375","2012-11-19T00:00:00Z","Fri handel","/adresse/sergentvaenget-9-3520-farum-01900768___9_______","value:2700000|sqm:147|lastPrice:3100000|sqmPr:21088|rooms:"
"Badeværelse i enheden","(UDFASES) Række-, kæde- eller dobbelthus (lodret adskillelse mellem enhederne).","Mursten","Centralvarme med én fyringsenhed","153.0","Eget køkken med afløb","1.0","2.0","Fibercement uden asbest","Vandskyllende toilet i enheden","2016.0","Furesø","55.77682","12.323885","2016-01-01T00:00:00Z","Byggeår","/adresse/sirius-alle-59-3500-vaerloese-01900547__59_______","value:3450000|sqm:153|lastPrice:3995000|sqmPr:26111|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Andet materiale","Fjernvarme/blokvarme","56.0","Eget køkken med afløb","3.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1970.0","Furesø","55.7879","12.367311","2017-01-01T00:00:00Z","Ombygningsår","/adresse/ryetvej-20-1-1060-3500-vaerloese-01900500__20__11060","value:|sqm:56|lastPrice:250000|sqmPr:4464|rooms:"
"","","","","","","","","","","","Furesø","55.763245","12.30774","","","/adresse/filmtorvet-78-3500-vaerloese-01900818__78_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Række- og kædehus","Andet materiale","Varmepumpe","147.0","Eget køkken med afløb","3.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2018.0","Furesø","55.7657","12.307138","2020-10-13T00:00:00Z","Fri handel","/adresse/faldskaermsvej-43-3500-vaerloese-01900772__43_______","value:2950000|sqm:147|lastPrice:4100000|sqmPr:27891|rooms:"
"Badeværelse i enheden","Dobbelthus","Mursten","Varmepumpe","112.0","Eget køkken med afløb","1.0","2.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","2023.0","Furesø","55.764523","12.325356","2023-01-01T00:00:00Z","Byggeår","/adresse/bringegaardene-4-3500-vaerloese-01900775___4_______","value:|sqm:112|lastPrice:2421460|sqmPr:21620|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","67.0","Eget køkken med afløb","3.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1977.0","Furesø","55.81766","12.378914","2014-03-31T00:00:00Z","Øvrigt","/adresse/paltholmterrasserne-49-1-l170-3520-farum-01900460__49__1l170","value:|sqm:67|lastPrice:11256000|sqmPr:168000|rooms:"
"","","","","","","","","","","","Furesø","55.815205","12.3779","","","/adresse/raadhustorvet-5-1-3520-farum-01900520___5__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","86.0","Eget køkken med afløb","6.0","1.0","Levende tage","Vandskyllende toilet i enheden","2020.0","Furesø","55.782673","12.373842","2022-10-11T11:41:24.255489Z","Af markedet","/adresse/bymidten-72a-0-tv-3500-vaerloese-01900118_72a_st__tv","value:|sqm:86|lastPrice:3350000|sqmPr:38953|rooms:"
"","","","","","","","","","","","Furesø","55.788918","12.382766","","","/adresse/skovlinien-61-3500-vaerloese-01900546__61_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","Udhus","Metal","","","","","","Metal","","2019.0","Furesø","55.782234","12.362106","","","/adresse/kirke-vaerloesevej-30-1-3500-vaerloese-01900333__30__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","74.0","Eget køkken med afløb","3.0","1.0","Tagpap med lille hældning","Vandskyllende toilet i enheden","1977.0","Furesø","55.818874","12.379514","1998-10-05T00:00:00Z","Fri handel","/adresse/bybaekterrasserne-138e-1-3520-farum-01900113138e______1","value:|sqm:74|lastPrice:42918|sqmPr:579|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Betonelementer","Fjernvarme/blokvarme","91.0","Eget køkken med afløb","6.0","1.0","Levende tage","Vandskyllende toilet i enheden","2020.0","Furesø","55.782566","12.373978","2020-01-01T00:00:00Z","Byggeår","/adresse/bymidten-72b-3-tv-3500-vaerloese-01900118_72b__3__tv","value:|sqm:91|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Furesø","55.814728","12.3765745","","","/adresse/raadhustorvet-2-3520-farum-01900520___2_______","value:30500000|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Furesø","55.761074","12.3411","2023-01-01T00:00:00Z","Byggeår","/adresse/jonshoejstraede-27-3500-vaerloese-01900791__27_______","value:|sqm:|lastPrice:7250000|sqmPr:91772|rooms:"
"","","","","","","","","","","","Furesø","55.78193","12.370787","","","/adresse/kollekollevej-4-1-3500-vaerloese-01900355___4__1____","value:|sqm:|lastPrice:|sqmPr:|rooms:"
