props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_floor,props_pageProps_address_municipality_numberOfSchools,props_pageProps_address_municipality_population,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailPropertyClass,lastPrice
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,76.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691044,12.529022,0.0,17.0,103608.0,2014-01-03T00:00:00Z,Fri handel,/adresse/duevej-52-0-th-2000-frederiksberg-01470178__52_st__th,ejerlejlighed,2195000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,76.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691044,12.529022,1.0,17.0,103608.0,2019-12-27T00:00:00Z,Fri handel,/adresse/duevej-52-1-tv-2000-frederiksberg-01470178__52__1__tv,ejerlejlighed,3035000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,76.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691044,12.529022,2.0,17.0,103608.0,1993-11-24T00:00:00Z,Fri handel,/adresse/duevej-52-2-tv-2000-frederiksberg-01470178__52__2__tv,ejerlejlighed,500000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,71.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691154,12.529121,0.0,17.0,103608.0,2022-11-03T00:00:00Z,Fri handel,/adresse/duevej-54-0-tv-2000-frederiksberg-01470178__54_st__tv,ejerlejlighed,4100000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,71.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691154,12.529121,1.0,17.0,103608.0,2016-06-28T00:00:00Z,Fri handel,/adresse/duevej-54-1-tv-2000-frederiksberg-01470178__54__1__tv,ejerlejlighed,2775000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,70.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691154,12.529121,2.0,17.0,103608.0,2020-07-21T00:00:00Z,Fri handel,/adresse/duevej-54-2-th-2000-frederiksberg-01470178__54__2__th,ejerlejlighed,3000000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,71.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691154,12.529121,2.0,17.0,103608.0,2022-09-16T00:00:00Z,Fri handel,/adresse/duevej-54-2-tv-2000-frederiksberg-01470178__54__2__tv,ejerlejlighed,3920000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,64.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691257,12.529221,0.0,17.0,103608.0,2005-07-22T00:00:00Z,Fri handel,/adresse/duevej-56-0-tv-2000-frederiksberg-01470178__56_st__tv,ejerlejlighed,1950000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,64.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691257,12.529221,1.0,17.0,103608.0,1995-08-16T00:00:00Z,Fri handel,/adresse/duevej-56-1-tv-2000-frederiksberg-01470178__56__1__tv,ejerlejlighed,406500
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,92.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691372,12.529328,3.0,17.0,103608.0,2017-08-03T00:00:00Z,Fri handel,/adresse/duevej-58-3-th-2000-frederiksberg-01470178__58__3__th,ejerlejlighed,4285000
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,70.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1932.0,Frederiksberg,55.691372,12.529328,4.0,17.0,103608.0,2006-12-21T00:00:00Z,Fri handel,/adresse/duevej-58-4-tv-2000-frederiksberg-01470178__58__4__tv,ejerlejlighed,2575000
